Run Name,Axle Torque (Nm),Axle Speed (rpm),Power (kW),TqC (Nm),Time (sec),Tailshaft Speed (rpm),Speed (km/h),Tacho [Rat] (rpm),Speed L (rpm),Tq L (Nm),Speed R (rpm),Axle Tq R (Nm),Comments
MUREV2025.0034,355.2,461.664,17.019,108.526,1.28,1805.1,35.192,1497.5,462.3,185.5,461.1,169.7,
MUREV2025.0034,355.3,460.4,17.035,108.579,1.33,1800.2,35.207,1498.2,461.2,186.1,459.6,169.2,
MUREV2025.0034,355.8,458.04,17.024,108.662,1.38,1790.9,35.158,1496.1,458.5,186.8,457.6,169.0,
MUREV2025.0034,356.0,456.4,16.996,108.718,1.43,1784.5,35.081,1492.8,457.1,187.3,455.7,168.7,
MUREV2025.0034,355.7,456.792,16.974,108.703,1.48,1786.1,35.041,1491.1,457.6,187.5,456.0,168.2,
MUREV2025.0034,355.2,459.72,16.97,108.536,1.53,1797.5,35.087,1493.1,460.3,187.8,459.1,167.4,
MUREV2025.0034,354.1,464.656,17.003,108.267,1.58,1816.8,35.243,1499.7,465.5,187.7,463.8,166.4,
MUREV2025.0034,353.2,470.048,17.082,108.017,1.63,1837.9,35.487,1510.1,470.7,187.5,469.4,165.7,
MUREV2025.0034,352.7,474.32,17.187,107.868,1.68,1854.6,35.757,1521.6,474.9,187.5,473.7,165.2,
MUREV2025.0034,352.5,476.36,17.288,107.8,1.73,1862.6,35.988,1531.4,477.2,187.8,475.5,164.7,
MUREV2025.0034,352.5,476.664,17.377,107.86,1.78,1863.8,36.154,1538.5,477.3,188.3,476.1,164.2,
MUREV2025.0034,352.8,476.6,17.443,107.951,1.83,1863.5,36.261,1543.0,477.4,188.8,475.8,164.0,
MUREV2025.0034,353.0,477.416,17.497,108.014,1.88,1866.7,36.351,1546.9,478.2,189.3,476.6,163.7,
MUREV2025.0034,353.0,480.12,17.553,107.969,1.93,1877.3,36.484,1552.5,480.7,189.5,479.5,163.5,
MUREV2025.0034,352.7,484.44,17.63,107.854,1.98,1894.2,36.681,1560.9,485.4,189.5,483.5,163.2,
MUREV2025.0034,352.5,489.408,17.735,107.745,2.03,1913.6,36.939,1571.9,490.2,189.8,488.6,162.7,
MUREV2025.0034,352.2,493.456,17.856,107.673,2.08,1929.4,37.215,1583.6,494.3,190.0,492.7,162.2,
MUREV2025.0034,352.0,495.832,17.977,107.696,2.13,1938.7,37.459,1594.0,496.8,190.3,494.9,161.7,
MUREV2025.0034,352.3,496.952,18.079,107.763,2.18,1943.1,37.647,1602.0,497.7,190.8,496.2,161.5,
MUREV2025.0034,352.8,497.504,18.164,107.861,2.23,1945.2,37.791,1608.1,498.5,191.3,496.5,161.5,
MUREV2025.0034,353.0,498.568,18.237,107.945,2.28,1949.4,37.912,1613.3,499.6,191.8,497.6,161.2,
MUREV2025.0034,352.7,500.96,18.302,107.931,2.33,1958.8,38.053,1619.3,501.7,192.0,500.2,160.7,
MUREV2025.0034,352.2,504.632,18.383,107.871,2.38,1973.1,38.242,1627.3,505.5,192.0,503.8,160.2,
MUREV2025.0034,352.0,509.112,18.482,107.779,2.43,1990.6,38.481,1637.5,509.8,192.3,508.4,159.7,
MUREV2025.0034,351.7,513.112,18.595,107.701,2.48,2006.3,38.745,1648.7,513.8,192.5,512.4,159.2,
MUREV2025.0034,351.8,515.576,18.705,107.682,2.53,2015.9,38.981,1658.8,516.4,192.8,514.7,159.0,
MUREV2025.0034,352.0,516.64,18.801,107.72,2.58,2020.1,39.167,1666.7,517.3,193.3,515.9,158.7,
MUREV2025.0034,352.3,517.264,18.884,107.815,2.63,2022.5,39.306,1672.6,518.1,193.8,516.4,158.5,
MUREV2025.0034,352.5,518.288,18.949,107.858,2.68,2026.5,39.424,1677.6,519.3,194.3,517.3,158.2,
