Run Name,Axle Torque (Nm),Axle Speed (rpm),Power (kW),TqC (Nm),Time (sec),Tailshaft Speed (rpm),Speed (km/h),Tacho [Rat] (rpm),Speed L (rpm),Tq L (Nm),Speed R (rpm),Axle Tq R (Nm),Comments
MUREV2025.0054,344.0,122.0,4.454,106.539,1.3,477.0,9.382,399.2,122.1,175.0,121.9,169.0,
MUREV2025.0054,344.5,122.56,4.451,106.476,1.35,479.2,9.382,399.2,122.7,175.5,122.4,169.0,
MUREV2025.0054,344.0,123.16,4.456,106.415,1.4,481.6,9.396,399.8,123.2,175.5,123.1,168.5,
MUREV2025.0054,343.5,124.32,4.467,106.279,1.45,486.1,9.432,401.4,124.4,175.5,124.2,168.0,
MUREV2025.0054,343.0,126.04,4.496,106.165,1.5,492.8,9.504,404.4,126.1,175.0,126.0,168.0,
MUREV2025.0054,342.5,128.76,4.541,105.935,1.55,503.5,9.619,409.3,128.8,175.0,128.7,167.5,
MUREV2025.0054,341.5,131.84,4.605,105.698,1.6,515.5,9.778,416.1,131.9,175.0,131.8,166.5,
MUREV2025.0054,340.5,134.76,4.682,105.524,1.65,526.9,9.958,423.7,134.9,174.5,134.6,166.0,
MUREV2025.0054,340.0,138.2,4.767,105.29,1.7,540.4,10.159,432.3,138.3,174.5,138.1,165.5,
MUREV2025.0054,339.5,141.04,4.863,105.179,1.75,551.5,10.375,441.5,141.0,174.5,141.0,165.0,
MUREV2025.0054,339.5,143.96,4.958,105.053,1.8,562.9,10.591,450.7,144.0,174.5,143.9,165.0,
MUREV2025.0054,339.0,146.16,5.047,105.007,1.85,571.5,10.786,459.0,146.2,174.5,146.1,164.5,
MUREV2025.0054,338.5,148.44,5.136,104.963,1.9,580.4,10.98,467.2,148.6,174.5,148.3,164.0,
MUREV2025.0054,339.0,150.92,5.224,104.971,1.95,590.1,11.167,475.2,151.0,175.0,150.8,164.0,
MUREV2025.0054,338.5,153.52,5.312,104.915,2.0,600.3,11.362,483.5,153.7,175.0,153.4,163.5,
MUREV2025.0054,338.5,156.04,5.4,104.858,2.05,610.1,11.556,491.7,156.2,175.0,155.9,163.5,
MUREV2025.0054,338.5,159.12,5.498,104.865,2.1,622.2,11.765,500.6,159.4,175.5,158.9,163.0,
MUREV2025.0054,338.5,162.12,5.596,104.809,2.15,633.9,11.981,509.8,162.2,175.5,162.0,163.0,
MUREV2025.0054,338.0,165.0,5.693,104.752,2.2,645.2,12.197,519.0,165.2,175.5,164.8,162.5,
MUREV2025.0054,338.0,167.8,5.794,104.757,2.25,656.1,12.413,528.2,168.0,175.5,167.6,162.5,
MUREV2025.0054,338.0,170.96,5.895,104.684,2.3,668.5,12.636,537.7,171.1,176.0,170.8,162.0,
MUREV2025.0054,338.0,173.56,5.996,104.693,2.35,678.6,12.852,546.9,173.8,176.0,173.4,162.0,
MUREV2025.0054,338.0,176.08,6.093,104.69,2.4,688.5,13.061,555.8,176.3,176.0,175.8,162.0,
MUREV2025.0054,338.0,178.76,6.195,104.76,2.45,699.0,13.27,564.7,179.0,176.5,178.6,161.5,
