Run Name,Axle Torque (Nm),Axle Speed (rpm),Power (kW),TqC (Nm),Time (sec),Tailshaft Speed (rpm),Speed (km/h),Tacho [Rat] (rpm),Speed L (rpm),Tq L (Nm),Speed R (rpm),Axle Tq R (Nm),Comments
MUREV2025.0040,437.5,498.6,22.781,134.017,1.3,1949.5,38.146,1623.2,499.3,221.5,497.9,216.0,
MUREV2025.0040,437.5,502.8,22.805,133.779,1.35,1965.9,38.254,1627.8,503.7,222.0,501.9,215.5,
MUREV2025.0040,436.5,505.08,22.863,133.667,1.4,1974.9,38.383,1633.3,505.8,222.0,504.4,214.5,
MUREV2025.0040,436.5,503.96,22.913,133.734,1.45,1970.5,38.448,1636.1,504.8,222.5,503.1,214.0,
MUREV2025.0040,437.5,501.48,22.91,133.793,1.5,1960.8,38.426,1635.2,502.4,223.5,500.6,214.0,
MUREV2025.0040,437.5,500.0,22.896,133.911,1.55,1955.0,38.369,1632.7,500.8,224.0,499.2,213.5,
MUREV2025.0040,437.5,501.4,22.874,133.786,1.6,1960.5,38.369,1632.7,502.3,224.5,500.5,213.0,
MUREV2025.0040,436.5,505.76,22.913,133.609,1.65,1977.5,38.484,1637.6,506.6,224.5,504.9,212.0,
MUREV2025.0040,435.5,512.08,22.989,133.257,1.7,2002.2,38.714,1647.4,513.0,224.5,511.1,211.0,
MUREV2025.0040,434.5,517.28,23.126,133.034,1.75,2022.6,39.01,1660.0,518.2,224.5,516.4,210.0,
MUREV2025.0040,434.5,519.4,23.263,132.991,1.8,2030.9,39.254,1670.4,520.3,225.0,518.5,209.5,
MUREV2025.0040,434.5,518.8,23.365,133.061,1.85,2028.5,39.406,1676.8,519.7,225.5,517.9,209.0,
MUREV2025.0040,435.0,517.76,23.43,133.185,1.9,2024.4,39.478,1679.9,518.7,226.5,516.8,208.5,
MUREV2025.0040,435.0,518.08,23.474,133.244,1.95,2025.7,39.535,1682.4,519.0,227.0,517.1,208.0,
MUREV2025.0040,434.5,521.28,23.526,133.123,2.0,2038.2,39.658,1687.6,522.2,227.5,520.3,207.0,
MUREV2025.0040,434.0,526.8,23.623,132.948,2.05,2059.8,39.874,1696.8,527.7,228.0,525.9,206.0,
MUREV2025.0040,433.5,532.4,23.763,132.78,2.1,2081.7,40.162,1709.0,533.1,228.5,531.7,205.0,
MUREV2025.0040,433.5,536.48,23.923,132.672,2.15,2097.6,40.464,1721.9,537.2,229.0,535.8,204.5,
MUREV2025.0040,433.0,537.72,24.072,132.744,2.2,2102.5,40.694,1731.7,538.3,229.5,537.1,203.5,
MUREV2025.0040,433.5,537.08,24.175,132.867,2.25,2100.0,40.831,1737.5,537.8,230.5,536.4,203.0,
MUREV2025.0040,434.0,537.28,24.241,132.924,2.3,2100.8,40.925,1741.5,537.9,231.5,536.6,202.5,
MUREV2025.0040,434.0,539.52,24.324,132.983,2.35,2109.5,41.047,1746.7,540.2,232.0,538.9,202.0,
MUREV2025.0040,433.5,543.8,24.413,132.862,2.4,2126.3,41.234,1754.7,544.6,232.5,543.0,201.0,
MUREV2025.0040,433.5,549.0,24.545,132.748,2.45,2146.6,41.494,1765.7,549.8,233.0,548.2,200.5,
MUREV2025.0040,433.0,553.36,24.695,132.635,2.5,2163.6,41.782,1777.9,554.2,233.5,552.5,199.5,
MUREV2025.0040,433.0,555.28,24.836,132.641,2.55,2171.1,42.019,1788.1,556.2,234.0,554.4,199.0,
MUREV2025.0040,433.0,556.0,24.966,132.765,2.6,2174.0,42.199,1795.7,557.0,234.5,555.0,198.5,
MUREV2025.0040,433.5,556.36,25.061,132.884,2.65,2175.4,42.322,1800.9,557.5,235.5,555.2,198.0,
MUREV2025.0040,433.5,557.92,25.137,132.879,2.7,2181.5,42.451,1806.4,559.0,236.0,556.8,197.5,
MUREV2025.0040,433.5,561.2,25.223,132.815,2.75,2194.3,42.617,1813.5,562.2,236.5,560.2,197.0,
MUREV2025.0040,433.0,565.96,25.336,132.696,2.8,2212.9,42.847,1823.3,566.7,237.0,565.2,196.0,
MUREV2025.0040,432.5,570.52,25.479,132.599,2.85,2230.7,43.121,1834.9,571.2,237.5,569.8,195.0,
MUREV2025.0040,432.5,573.76,25.621,132.538,2.9,2243.4,43.38,1846.0,574.5,238.0,573.0,194.5,
MUREV2025.0040,432.5,575.04,25.754,132.589,2.95,2248.4,43.589,1854.8,575.8,238.5,574.3,194.0,
MUREV2025.0040,432.5,575.36,25.854,132.646,3.0,2249.7,43.74,1861.3,576.1,239.0,574.6,193.5,
MUREV2025.0040,433.0,576.48,25.938,132.702,3.05,2254.0,43.862,1866.5,577.2,239.5,575.8,193.5,
MUREV2025.0040,433.0,579.28,26.018,132.636,3.1,2265.0,44.021,1873.2,580.1,240.0,578.5,193.0,
MUREV2025.0040,432.5,583.68,26.134,132.576,3.15,2282.2,44.237,1882.4,584.6,240.5,582.8,192.0,
MUREV2025.0040,432.0,588.16,26.264,132.458,3.2,2299.7,44.496,1893.5,589.2,240.5,587.1,191.5,
MUREV2025.0040,432.0,591.4,26.402,132.402,3.25,2312.4,44.748,1904.2,592.5,241.0,590.3,191.0,
MUREV2025.0040,432.0,593.16,26.529,132.404,3.3,2319.3,44.964,1913.4,594.5,241.5,591.8,190.5,
MUREV2025.0040,432.5,593.6,26.643,132.524,3.35,2321.0,45.115,1919.8,594.9,242.0,592.3,190.5,
MUREV2025.0040,432.5,594.2,26.726,132.578,3.4,2323.3,45.238,1925.0,595.4,242.5,593.0,190.0,
MUREV2025.0040,433.0,596.52,26.806,132.573,3.45,2332.4,45.374,1930.8,597.8,243.5,595.2,189.5,
