Run Name,Axle Torque (Nm),Axle Speed (rpm),Power (kW),TqC (Nm),Time (sec),Tailshaft Speed (rpm),Speed (km/h),Tacho [Rat] (rpm),Speed L (rpm),Tq L (Nm),Speed R (rpm),Axle Tq R (Nm),Comments
MUREV2025.0041,454.5,299.304,14.232,139.062,1.27,1170.3,22.967,977.3,299.6,223.5,299.0,231.0,
MUREV2025.0041,454.3,299.336,14.226,139.099,1.32,1170.4,22.951,976.6,299.6,223.5,299.0,230.8,
MUREV2025.0041,454.0,299.76,14.221,139.075,1.37,1172.1,22.946,976.4,300.1,223.5,299.4,230.5,
MUREV2025.0041,453.8,300.4,14.22,138.995,1.42,1174.6,22.958,976.9,300.7,223.5,300.1,230.3,
MUREV2025.0041,453.5,301.88,14.24,138.9,1.47,1180.4,23.007,979.0,302.1,223.5,301.6,230.0,
MUREV2025.0041,453.3,304.336,14.288,138.785,1.52,1190.0,23.103,983.1,304.6,223.5,304.1,229.8,
MUREV2025.0041,452.8,307.208,14.36,138.674,1.57,1201.2,23.237,988.8,307.4,223.5,307.0,229.3,
MUREV2025.0041,452.5,309.92,14.447,138.584,1.62,1211.8,23.394,995.5,310.1,223.5,309.8,229.0,
MUREV2025.0041,452.3,312.24,14.542,138.491,1.67,1220.9,23.563,1002.7,312.4,223.5,312.0,228.8,
MUREV2025.0041,451.8,314.376,14.643,138.473,1.72,1229.2,23.73,1009.8,314.6,223.5,314.1,228.3,
MUREV2025.0041,451.7,316.448,14.742,138.473,1.77,1237.3,23.891,1016.6,316.6,223.7,316.3,228.0,
MUREV2025.0041,452.0,318.6,14.841,138.445,1.82,1245.7,24.057,1023.7,318.8,224.0,318.4,228.0,
MUREV2025.0041,451.8,320.896,14.944,138.434,1.87,1254.7,24.225,1030.9,321.0,224.0,320.8,227.8,
MUREV2025.0041,451.7,323.272,15.05,138.424,1.92,1264.0,24.398,1038.2,323.5,224.2,323.1,227.5,
MUREV2025.0041,451.8,325.696,15.156,138.408,1.97,1273.5,24.574,1045.7,325.8,224.5,325.6,227.3,
MUREV2025.0041,451.5,328.4,15.269,138.395,2.02,1284.0,24.759,1053.6,328.5,224.5,328.3,227.0,
MUREV2025.0041,451.7,331.184,15.386,138.365,2.07,1294.9,24.954,1061.9,331.4,224.7,331.0,227.0,
MUREV2025.0041,451.8,333.768,15.505,138.359,2.12,1305.0,25.148,1070.1,333.9,225.0,333.6,226.8,
MUREV2025.0041,451.5,335.928,15.626,138.401,2.17,1313.5,25.337,1078.2,336.0,225.0,335.8,226.5,
MUREV2025.0041,451.7,337.928,15.736,138.405,2.22,1321.3,25.514,1085.7,338.0,225.2,337.8,226.5,
MUREV2025.0041,451.8,340.192,15.843,138.407,2.27,1330.2,25.687,1093.1,340.3,225.5,340.1,226.3,
MUREV2025.0041,451.7,342.8,15.955,138.41,2.32,1340.3,25.868,1100.8,342.9,225.7,342.7,226.0,
MUREV2025.0041,451.8,345.6,16.075,138.409,2.37,1351.3,26.063,1109.0,345.8,226.0,345.4,225.8,
MUREV2025.0041,451.5,348.432,16.196,138.389,2.42,1362.4,26.263,1117.6,348.6,226.0,348.3,225.5,
MUREV2025.0041,451.3,351.248,16.321,138.373,2.47,1373.4,26.469,1126.3,351.3,226.0,351.2,225.3,
MUREV2025.0041,451.2,353.888,16.444,138.351,2.52,1383.7,26.673,1135.0,354.0,226.2,353.8,225.0,
MUREV2025.0041,451.5,356.408,16.566,138.323,2.57,1393.6,26.876,1143.7,356.5,226.5,356.3,225.0,
MUREV2025.0041,451.3,358.688,16.684,138.338,2.62,1402.5,27.065,1151.7,358.7,226.5,358.7,224.8,
MUREV2025.0041,451.2,360.8,16.795,138.318,2.67,1410.7,27.248,1159.5,360.8,226.7,360.8,224.5,
MUREV2025.0041,451.3,363.376,16.913,138.325,2.72,1420.8,27.438,1167.6,363.4,227.0,363.4,224.3,
MUREV2025.0041,451.2,366.312,17.035,138.315,2.77,1432.3,27.638,1176.1,366.3,227.2,366.4,224.0,
MUREV2025.0041,451.3,369.28,17.156,138.255,2.82,1443.9,27.847,1185.0,369.2,227.5,369.4,223.8,
MUREV2025.0041,450.8,372.096,17.28,138.22,2.87,1454.9,28.056,1193.9,372.1,227.5,372.1,223.3,
MUREV2025.0041,450.7,374.76,17.407,138.222,2.92,1465.3,28.261,1202.6,374.7,227.7,374.8,223.0,
MUREV2025.0041,451.0,377.16,17.529,138.198,2.97,1474.7,28.463,1211.2,377.1,228.2,377.2,222.8,
MUREV2025.0041,450.8,379.544,17.644,138.161,3.02,1484.0,28.659,1219.5,379.5,228.5,379.6,222.3,
MUREV2025.0041,450.5,381.872,17.757,138.14,3.07,1493.1,28.846,1227.5,381.9,228.7,381.9,221.8,
MUREV2025.0041,450.5,384.264,17.87,138.121,3.12,1502.5,29.033,1235.5,384.2,229.2,384.3,221.3,
MUREV2025.0041,450.5,387.032,17.985,138.077,3.17,1513.3,29.229,1243.8,386.9,229.5,387.1,221.0,
MUREV2025.0041,450.5,390.112,18.113,138.061,3.22,1525.3,29.441,1252.8,390.0,229.7,390.2,220.8,
MUREV2025.0041,450.5,392.856,18.237,138.038,3.27,1536.1,29.648,1261.6,392.8,230.2,392.9,220.3,
MUREV2025.0041,450.3,395.144,18.351,137.993,3.32,1545.0,29.843,1269.9,395.1,230.5,395.2,219.8,
MUREV2025.0041,450.0,397.568,18.466,137.962,3.37,1554.5,30.037,1278.2,397.6,230.7,397.6,219.3,
MUREV2025.0041,450.0,400.008,18.586,137.975,3.42,1564.0,30.228,1286.3,400.0,231.2,400.0,218.8,
MUREV2025.0041,449.8,402.344,18.695,137.929,3.47,1573.2,30.416,1294.3,402.3,231.5,402.4,218.3,
