Run Name,Axle Torque (Nm),Axle Speed (rpm),Power (kW),TqC (Nm),Time (sec),Tailshaft Speed (rpm),Speed (km/h),Tacho [Rat] (rpm),Speed L (rpm),Tq L (Nm),Speed R (rpm),Axle Tq R (Nm),Comments
MUREV2025.0033,310.4,290.8,9.436,94.869,1.34,1137.0,22.32,949.8,290.6,141.0,291.0,169.4,
MUREV2025.0033,310.5,290.48,9.424,94.879,1.39,1135.8,22.29,948.5,290.3,141.0,290.7,169.5,
MUREV2025.0033,310.5,290.728,9.419,94.879,1.44,1136.7,22.278,948.0,290.6,141.0,290.9,169.5,
MUREV2025.0033,310.5,290.864,9.411,94.829,1.49,1137.3,22.271,947.7,290.8,141.0,291.0,169.5,
MUREV2025.0033,310.1,291.808,9.414,94.77,1.54,1141.0,22.293,948.6,291.7,140.6,291.9,169.5,
MUREV2025.0033,310.0,293.768,9.431,94.665,1.59,1148.6,22.356,951.3,293.6,140.5,294.0,169.5,
MUREV2025.0033,309.6,296.504,9.467,94.552,1.64,1159.3,22.468,956.1,296.3,140.1,296.7,169.5,
MUREV2025.0033,308.7,299.608,9.516,94.407,1.69,1171.5,22.62,962.5,299.5,139.6,299.7,169.1,
MUREV2025.0033,308.5,302.992,9.582,94.282,1.74,1184.7,22.807,970.5,302.8,139.5,303.2,169.0,
MUREV2025.0033,308.1,305.792,9.659,94.214,1.79,1195.6,23.007,979.0,305.5,139.1,306.1,169.0,
MUREV2025.0033,308.0,308.176,9.734,94.167,1.84,1205.0,23.197,987.1,307.9,139.0,308.4,169.0,
MUREV2025.0033,308.0,310.144,9.81,94.166,1.89,1212.7,23.378,994.8,309.9,139.0,310.4,169.0,
MUREV2025.0033,308.0,311.992,9.882,94.174,1.94,1219.9,23.547,1002.0,311.9,139.0,312.1,169.0,
MUREV2025.0033,308.0,313.96,9.949,94.181,1.99,1227.6,23.707,1008.8,313.8,139.0,314.1,169.0,
MUREV2025.0033,308.0,316.152,10.019,94.188,2.04,1236.2,23.871,1015.8,316.0,139.0,316.3,169.0,
MUREV2025.0033,307.6,318.744,10.092,94.194,2.09,1246.3,24.042,1023.1,318.7,139.0,318.8,168.6,
MUREV2025.0033,307.5,321.872,10.169,94.152,2.14,1258.5,24.238,1031.4,321.8,139.0,322.0,168.5,
MUREV2025.0033,307.9,325.368,10.261,94.149,2.19,1272.2,24.457,1040.7,325.3,139.4,325.4,168.5,
MUREV2025.0033,308.0,328.512,10.352,94.108,2.24,1284.5,24.686,1050.5,328.6,139.5,328.4,168.5,
MUREV2025.0033,307.6,330.752,10.439,94.102,2.29,1293.2,24.893,1059.3,330.8,139.5,330.8,168.1,
MUREV2025.0033,307.5,333.016,10.527,94.156,2.34,1302.1,25.089,1067.6,332.9,139.5,333.1,168.0,
MUREV2025.0033,307.5,335.016,10.605,94.17,2.39,1309.9,25.272,1075.4,334.9,139.5,335.1,168.0,
MUREV2025.0033,307.9,337.16,10.686,94.221,2.44,1318.3,25.452,1083.1,337.1,139.9,337.2,168.0,
MUREV2025.0033,308.0,339.616,10.764,94.235,2.49,1327.9,25.632,1090.7,339.6,140.0,339.6,168.0,
MUREV2025.0033,308.0,342.264,10.836,94.186,2.54,1338.3,25.818,1098.6,342.1,140.0,342.4,168.0,
MUREV2025.0033,307.6,345.2,10.918,94.177,2.59,1349.7,26.016,1107.1,345.1,140.0,345.3,167.6,
MUREV2025.0033,307.5,348.392,11.002,94.131,2.64,1362.2,26.23,1116.2,348.3,140.0,348.5,167.5,
MUREV2025.0033,307.5,351.536,11.097,94.122,2.69,1374.5,26.457,1125.8,351.4,140.0,351.7,167.5,
MUREV2025.0033,307.1,354.24,11.183,94.076,2.74,1385.1,26.676,1135.2,354.1,140.0,354.4,167.1,
MUREV2025.0033,307.0,356.52,11.271,94.114,2.79,1394.0,26.875,1143.6,356.4,140.0,356.7,167.0,
MUREV2025.0033,307.4,358.624,11.352,94.127,2.84,1402.2,27.063,1151.6,358.4,140.4,358.8,167.0,
MUREV2025.0033,307.5,360.864,11.43,94.126,2.89,1411.0,27.251,1159.6,360.7,140.5,361.0,167.0,
MUREV2025.0033,307.5,363.432,11.508,94.125,2.94,1421.0,27.438,1167.6,363.4,140.5,363.5,167.0,
MUREV2025.0033,307.5,365.944,11.587,94.125,2.99,1430.8,27.625,1175.5,365.8,140.5,366.1,167.0,
MUREV2025.0033,307.5,368.904,11.667,94.076,3.04,1442.4,27.829,1184.2,368.7,140.5,369.1,167.0,
MUREV2025.0033,307.5,372.048,11.749,94.016,3.09,1454.7,28.044,1193.4,372.0,140.5,372.1,167.0,
MUREV2025.0033,307.1,374.952,11.838,94.006,3.14,1466.1,28.26,1202.6,374.9,140.5,375.0,166.6,
MUREV2025.0033,307.0,377.568,11.92,93.958,3.19,1476.3,28.47,1211.5,377.4,140.5,377.7,166.5,
MUREV2025.0033,307.0,380.0,12.004,93.946,3.24,1485.8,28.673,1220.1,380.0,140.5,380.0,166.5,
MUREV2025.0033,307.0,382.112,12.083,93.945,3.29,1494.1,28.863,1228.2,382.1,140.5,382.1,166.5,
MUREV2025.0033,307.0,384.504,12.161,93.944,3.34,1503.4,29.051,1236.2,384.3,140.9,384.7,166.1,
