Run Name,Axle Torque (Nm),Axle Speed (rpm),Power (kW),TqC (Nm),Time (sec),Tailshaft Speed (rpm),Speed (km/h),Tacho [Rat] (rpm),Speed L (rpm),Tq L (Nm),Speed R (rpm),Axle Tq R (Nm),Comments
MUREV2025.0051,195.2,122.72,2.553,60.482,1.32,479.8,9.472,403.1,122.9,101.2,122.5,94.0,
MUREV2025.0051,195.5,122.504,2.546,60.516,1.37,479.0,9.441,401.7,122.8,101.5,122.2,94.0,
MUREV2025.0051,195.5,123.008,2.544,60.523,1.42,481.0,9.432,401.4,123.3,101.5,122.7,94.0,
MUREV2025.0051,195.3,123.824,2.545,60.471,1.47,484.2,9.444,401.9,124.1,101.5,123.6,93.8,
MUREV2025.0051,195.0,124.96,2.55,60.344,1.52,488.6,9.484,403.6,125.2,101.5,124.7,93.5,
MUREV2025.0051,194.6,126.824,2.564,60.183,1.57,495.9,9.559,406.8,127.1,101.3,126.5,93.3,
MUREV2025.0051,193.6,129.528,2.585,59.94,1.62,506.5,9.677,411.8,129.8,100.8,129.2,92.8,
MUREV2025.0051,192.6,132.608,2.616,59.68,1.67,518.5,9.835,418.5,132.9,100.3,132.3,92.3,
MUREV2025.0051,191.6,136.168,2.654,59.388,1.72,532.4,10.03,426.8,136.5,99.8,135.8,91.8,
MUREV2025.0051,190.6,140.2,2.701,59.084,1.77,548.2,10.26,436.6,140.4,99.3,140.0,91.3,
MUREV2025.0051,189.8,144.384,2.759,58.834,1.82,564.5,10.524,447.8,144.6,98.8,144.2,91.0,
MUREV2025.0051,189.1,148.16,2.823,58.664,1.87,579.3,10.799,459.5,148.4,98.3,147.9,90.8,
MUREV2025.0051,188.5,151.264,2.884,58.517,1.92,591.4,11.059,470.6,151.5,98.0,151.0,90.5,
MUREV2025.0051,188.3,153.904,2.941,58.404,1.97,601.8,11.3,480.8,154.1,97.8,153.7,90.5,
MUREV2025.0051,188.0,156.096,2.992,58.312,2.02,610.3,11.514,490.0,156.3,97.5,155.9,90.5,
MUREV2025.0051,187.8,158.176,3.041,58.279,2.07,618.5,11.71,498.3,158.4,97.5,158.0,90.3,
MUREV2025.0051,187.5,160.4,3.09,58.266,2.12,627.2,11.9,506.4,160.6,97.5,160.2,90.0,
MUREV2025.0051,187.5,163.088,3.137,58.204,2.17,637.7,12.095,514.7,163.3,97.5,162.9,90.0,
MUREV2025.0051,187.5,165.848,3.187,58.163,2.22,648.5,12.295,523.2,166.0,97.5,165.6,90.0,
MUREV2025.0051,187.3,168.792,3.239,58.142,2.27,660.0,12.501,531.9,169.0,97.3,168.6,90.0,
MUREV2025.0051,187.0,171.6,3.291,58.107,2.32,671.0,12.708,540.8,171.8,97.0,171.4,90.0,
MUREV2025.0051,187.0,174.616,3.346,58.085,2.37,682.7,12.927,550.1,174.8,97.0,174.4,90.0,
MUREV2025.0051,187.0,177.688,3.402,58.059,2.42,694.8,13.15,559.6,177.9,97.0,177.5,90.0,
MUREV2025.0051,186.8,180.648,3.458,58.034,2.47,706.3,13.373,569.1,180.9,97.0,180.4,89.8,
MUREV2025.0051,186.5,183.272,3.512,57.993,2.52,716.6,13.591,578.3,183.6,97.0,183.0,89.5,
MUREV2025.0051,186.5,185.912,3.567,57.995,2.57,726.9,13.802,587.3,186.3,97.0,185.6,89.5,
MUREV2025.0051,186.5,188.76,3.621,57.971,2.62,738.1,14.018,596.5,189.1,97.0,188.4,89.5,
