Time,Car.DigitalInput.MSS.PDOC.Pin,Car.DigitalInput.MSS.BMS.Pin,Car.DigitalInput.MSS.BSPD.Pin,Car.DigitalInput.MSS.IMD.Pin,Car.Data.Driver.ThrottlePressure,Car.Data.Motor.MotorRPM,Car.AnalogInput.BMS.CellTempASensor,Car.AnalogInput.BMS.CellTempBSensor,Car.AnalogInput.BMS.CellTempCSensor,Car.Data.Battery.PackSOC,Car.Data.PDM.LVBatteryVoltage,Car.Data.Battery.BMSInternalTemp,Car.Data.Inverter.InverterTemp,Car.Data.Motor.MotorTemp,Car.Data.Inverter.InverterLock,Car.Data.Driver.SteeringAngle,Car.Data.Driver.FrontBrakePressure,Car.Data.Driver.RearBrakePressure,Car.Data.Driver.ThrottleDifference,Car.Data.Battery.HotSpotTemp,Car.Data.Battery.PackInstantaneousVoltage,Car.Data.Battery.PackOpenVoltage,Car.Data.Battery.PackCurrent,Car.Data.Battery.PackDCL,Car.Data.Battery.PackCCL,Car.Data.Battery.PackResistance,Car.Data.Battery.HighCellVoltage,Car.Data.Battery.LowCellVoltage,Car.Data.Battery.InputSupplyVoltage,Car.Data.Battery.CurrentLimitsStatus,Car.Data.Battery.HighCellVoltageID,Car.Data.Battery.LowCellVoltageID,Car.Data.Battery.BatteryPower,Car.Data.PDM.CoolingFanCurrent,Car.Data.PDM.CoolingPumpCurrent,Car.Data.PDM.FanState,Car.Data.PDM.PumpState,Car.Data.Inverter.InverterRelay.Relay2,Car.Data.Inverter.PhaseA,Car.Data.Inverter.PhaseB,Car.Data.Inverter.PhaseC,Car.Data.Inverter.InverterDCCurrent,Car.Data.Inverter.InverterDCVoltage,Car.Data.Inverter.InverterFault.Byte0,Car.Data.Inverter.InverterFault.Byte1,Car.Data.Inverter.InverterFault.Byte2,Car.Data.Inverter.InverterFault.Byte3,Car.Data.Inverter.InverterFault.Byte4,Car.Data.Inverter.InverterFault.Byte5,Car.Data.Inverter.InverterFault.Byte6,Car.Data.Inverter.InverterFault.Byte7,Car.Data.Inverter.InverterCMDTorque,Car.Data.Inverter.InverterFDBTorque,Car.DigitalInput.WheelSpeed.WheelSpeedFrontLeft,Car.DigitalInput.WheelSpeed.WheelSpeedFrontRight,Car.Data.Inverter.InverterCalculatedTorque
1372.01,0,0,0,0,21,2014,1.75998,0.00333562,1.77382,81,0,22,29,32,0,-2,0,0,2.1,30,4344,4361,33,175,19,711,40278,40069,107,1024,101,73,143352,0,0,0,0,1,0,33,174,67,4387,0,0,0,0,0,0,0,0,150,-145,0,0,16
1372.02,0,0,0,0,21,2040,1.76023,0.00341174,1.774,81,0,22,29,32,0,-2,0,0,2.2,30,4344,4361,33,175,19,711,40278,40069,107,1024,101,73,143352,0,0,0,0,1,0,174,93,82,4374,0,0,0,0,0,0,0,0,159,-161,0,0,16
1372.03,0,0,0,0,22,2047,1.76048,0.00348786,1.77419,81,0,22,29,32,0,-2,0,0,2.3,30,4340,4361,44,175,19,711,40278,40069,107,1024,101,73,190960,0,0,0,0,1,0,350,0,99,4370,0,0,0,0,0,0,0,0,159,-212,0,0,17
1372.04,0,0,0,0,23,2014,1.76073,0.00356398,1.77437,81,0,22,29,32,0,-2,0,0,2.4,30,4340,4361,35,175,19,711,40278,40069,107,1024,101,73,151900,0,0,0,0,1,0,451,0,128,4370,0,0,0,0,0,0,0,0,169,-264,0,0,18
1372.05,0,0,0,0,23,1956,1.76098,0.0036401,1.77456,81,0,22,29,32,0,-2,0,0,2.5,30,4340,4361,29,175,19,711,40278,40069,107,1024,101,73,125860,0,0,0,0,1,0,366,0,117,4365,0,0,0,0,0,0,0,0,179,-234,0,0,18
1372.06,0,0,0,0,24,1956,1.76123,0.00371622,1.77474,81,0,22,29,32,0,-2,0,0,2.6,30,4340,4361,29,175,19,711,40278,40069,107,1024,101,73,125860,0,0,0,0,1,0,366,0,117,4365,0,0,0,0,0,0,0,0,179,-234,0,0,19
1372.07,0,0,0,0,24,1925,1.76148,0.00379234,1.77493,81,0,22,29,32,0,-2,0,0,2.7,30,4339,4361,28,175,19,711,40278,40069,107,1024,101,73,121492,0,0,0,0,1,0,43,193,73,4380,0,0,0,0,0,0,0,0,179,-158,0,0,19
1372.08,0,0,0,0,25,1932,1.76173,0.00386846,1.77512,81,0,22,29,32,0,-2,0,0,2.8,30,4339,4361,28,175,19,711,40278,40069,107,1024,101,73,121492,0,0,0,0,1,0,0,218,57,4400,0,0,0,0,0,0,0,0,189,-126,0,0,19
1372.09,0,0,0,0,25,1961,1.76198,0.00394458,1.7753,81,0,22,29,32,0,-2,0,0,2.9,30,4339,4361,29,175,19,711,40278,40069,107,1024,101,73,125831,0,0,0,0,1,64,0,133,60,4385,0,0,0,0,0,0,0,0,189,-120,0,0,19
1372.1,0,0,0,0,25,1996,1.76223,0.0040207,1.77549,81,0,22,29,33,0,-2,0,0,3,30,4339,4361,29,175,18,711,40238,40017,107,1024,101,73,125831,0,0,0,0,1,97,0,134,69,4382,0,0,0,0,0,0,0,0,189,-140,0,0,19
